estacio,data,contaminant,unitats,latitud,longitud,valor,
Eixample,2022-04-05,NO2,xc2xb5gm3,41.385315,2.1537998,51.8750000000000000,
Eixample,2022-04-06,NO2,xc2xb5gm3,41.385315,2.1537998,57.1250000000000000,
Eixample,2022-04-07,NO2,xc2xb5gm3,41.385315,2.1537998,52.1666666666666667,
Eixample,2022-04-08,NO2,xc2xb5gm3,41.385315,2.1537998,40.9583333333333333,
Eixample,2022-04-09,NO2,xc2xb5gm3,41.385315,2.1537998,25.1250000000000000,
Eixample,2022-04-10,NO2,xc2xb5gm3,41.385315,2.1537998,19.6250000000000000,
Eixample,2022-04-11,NO2,xc2xb5gm3,41.385315,2.1537998,31.9583333333333333,
Eixample,2022-04-12,NO2,xc2xb5gm3,41.385315,2.1537998,26.3333333333333333,
Eixample,2022-04-13,NO2,xc2xb5gm3,41.385315,2.1537998,30.7500000000000000,
Eixample,2022-04-14,NO2,xc2xb5gm3,41.385315,2.1537998,49.7500000000000000,
Eixample,2022-04-15,NO2,xc2xb5gm3,41.385315,2.1537998,62.6250000000000000,
Eixample,2022-04-16,NO2,xc2xb5gm3,41.385315,2.1537998,50.0000000000000000,
Eixample,2022-04-17,NO2,xc2xb5gm3,41.385315,2.1537998,37.6666666666666667,
Eixample,2022-04-18,NO2,xc2xb5gm3,41.385315,2.1537998,38.4166666666666667,
Eixample,2022-04-19,NO2,xc2xb5gm3,41.385315,2.1537998,55.3750000000000000,
Eixample,2022-04-20,NO2,xc2xb5gm3,41.385315,2.1537998,31.8750000000000000,
Eixample,2022-04-21,NO2,xc2xb5gm3,41.385315,2.1537998,41.1428571428571429,
Eixample,2022-04-22,NO2,xc2xb5gm3,41.385315,2.1537998,40.7916666666666667,
Eixample,2022-04-23,NO2,xc2xb5gm3,41.385315,2.1537998,32.5652173913043478,
Eixample,2022-04-24,NO2,xc2xb5gm3,41.385315,2.1537998,18.6521739130434783,
Eixample,2022-04-25,NO2,xc2xb5gm3,41.385315,2.1537998,45.7916666666666667,
Eixample,2022-04-26,NO2,xc2xb5gm3,41.385315,2.1537998,55.8333333333333333,
Eixample,2022-04-27,NO2,xc2xb5gm3,41.385315,2.1537998,72.1250000000000000,
Eixample,2022-04-28,NO2,xc2xb5gm3,41.385315,2.1537998,85.5000000000000000,
Grxc3xa0cia - Sant Gervasi,2022-01-01,NO2,xc2xb5gm3,41.398724,2.1533988,28.5000000000000000,
Grxc3xa0cia - Sant Gervasi,2022-01-02,NO2,xc2xb5gm3,41.398724,2.1533988,27.0416666666666667,
Grxc3xa0cia - Sant Gervasi,2022-01-03,NO2,xc2xb5gm3,41.398724,2.1533988,44.7500000000000000,
Grxc3xa0cia - Sant Gervasi,2022-01-04,NO2,xc2xb5gm3,41.398724,2.1533988,55.9090909090909091,
Grxc3xa0cia - Sant Gervasi,2022-01-05,NO2,xc2xb5gm3,41.398724,2.1533988,32.4166666666666667,
Grxc3xa0cia - Sant Gervasi,2022-01-06,NO2,xc2xb5gm3,41.398724,2.1533988,19.4166666666666667,
Grxc3xa0cia - Sant Gervasi,2022-01-07,NO2,xc2xb5gm3,41.398724,2.1533988,37.9166666666666667,
Grxc3xa0cia - Sant Gervasi,2022-01-08,NO2,xc2xb5gm3,41.398724,2.1533988,20.1250000000000000,
Grxc3xa0cia - Sant Gervasi,2022-01-09,NO2,xc2xb5gm3,41.398724,2.1533988,11.7500000000000000,
Grxc3xa0cia - Sant Gervasi,2022-01-10,NO2,xc2xb5gm3,41.398724,2.1533988,40.3333333333333333,
Grxc3xa0cia - Sant Gervasi,2022-01-11,NO2,xc2xb5gm3,41.398724,2.1533988,51.8333333333333333,
Grxc3xa0cia - Sant Gervasi,2022-01-12,NO2,xc2xb5gm3,41.398724,2.1533988,34.4583333333333333,
Grxc3xa0cia - Sant Gervasi,2022-01-13,NO2,xc2xb5gm3,41.398724,2.1533988,55.7083333333333333,
Grxc3xa0cia - Sant Gervasi,2022-01-14,NO2,xc2xb5gm3,41.398724,2.1533988,49.1666666666666667,
Grxc3xa0cia - Sant Gervasi,2022-01-15,NO2,xc2xb5gm3,41.398724,2.1533988,35.5416666666666667,
Grxc3xa0cia - Sant Gervasi,2022-01-16,NO2,xc2xb5gm3,41.398724,2.1533988,57.7083333333333333,
Grxc3xa0cia - Sant Gervasi,2022-01-17,NO2,xc2xb5gm3,41.398724,2.1533988,62.2500000000000000,
Grxc3xa0cia - Sant Gervasi,2022-01-18,NO2,xc2xb5gm3,41.398724,2.1533988,47.7500000000000000,
Grxc3xa0cia - Sant Gervasi,2022-01-19,NO2,xc2xb5gm3,41.398724,2.1533988,42.0833333333333333,
Grxc3xa0cia - Sant Gervasi,2022-01-20,NO2,xc2xb5gm3,41.398724,2.1533988,43.2916666666666667,
Grxc3xa0cia - Sant Gervasi,2022-01-21,NO2,xc2xb5gm3,41.398724,2.1533988,27.7083333333333333,
Grxc3xa0cia - Sant Gervasi,2022-01-22,NO2,xc2xb5gm3,41.398724,2.1533988,29.2916666666666667,
Grxc3xa0cia - Sant Gervasi,2022-01-23,NO2,xc2xb5gm3,41.398724,2.1533988,36.5416666666666667,
Grxc3xa0cia - Sant Gervasi,2022-01-24,NO2,xc2xb5gm3,41.398724,2.1533988,49.4583333333333333,
Grxc3xa0cia - Sant Gervasi,2022-01-25,NO2,xc2xb5gm3,41.398724,2.1533988,61.7083333333333333,
Grxc3xa0cia - Sant Gervasi,2022-01-26,NO2,xc2xb5gm3,41.398724,2.1533988,60.8750000000000000,
Grxc3xa0cia - Sant Gervasi,2022-01-27,NO2,xc2xb5gm3,41.398724,2.1533988,65.8333333333333333,
Grxc3xa0cia - Sant Gervasi,2022-01-28,NO2,xc2xb5gm3,41.398724,2.1533988,79.0000000000000000,
Grxc3xa0cia - Sant Gervasi,2022-01-29,NO2,xc2xb5gm3,41.398724,2.1533988,66.5000000000000000,
Grxc3xa0cia - Sant Gervasi,2022-01-30,NO2,xc2xb5gm3,41.398724,2.1533988,48.1666666666666667,
Grxc3xa0cia - Sant Gervasi,2022-01-31,NO2,xc2xb5gm3,41.398724,2.1533988,39.2500000000000000,
Grxc3xa0cia - Sant Gervasi,2022-02-01,NO2,xc2xb5gm3,41.398724,2.1533988,37.3750000000000000,
Grxc3xa0cia - Sant Gervasi,2022-02-02,NO2,xc2xb5gm3,41.398724,2.1533988,47.0500000000000000,
Grxc3xa0cia - Sant Gervasi,2022-02-03,NO2,xc2xb5gm3,41.398724,2.1533988,62.3333333333333333,
Grxc3xa0cia - Sant Gervasi,2022-02-04,NO2,xc2xb5gm3,41.398724,2.1533988,53.1250000000000000,
Grxc3xa0cia - Sant Gervasi,2022-02-05,NO2,xc2xb5gm3,41.398724,2.1533988,35.2500000000000000,
Grxc3xa0cia - Sant Gervasi,2022-02-06,NO2,xc2xb5gm3,41.398724,2.1533988,19.7083333333333333,
Grxc3xa0cia - Sant Gervasi,2022-02-07,NO2,xc2xb5gm3,41.398724,2.1533988,44.3750000000000000,
Grxc3xa0cia - Sant Gervasi,2022-02-08,NO2,xc2xb5gm3,41.398724,2.1533988,48.1666666666666667,
Grxc3xa0cia - Sant Gervasi,2022-02-09,NO2,xc2xb5gm3,41.398724,2.1533988,35.2916666666666667,
